LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	PASSCAR	TOT	IDX2015	M	1998-08	111.8687256	
AUS	PASSCAR	TOT	IDX2015	M	1998-09	108.4643085	
AUS	PASSCAR	TOT	IDX2015	M	1998-10	112.4341892	
AUS	PASSCAR	TOT	IDX2015	M	1998-11	115.4453414	
AUS	PASSCAR	TOT	IDX2015	M	1998-12	120.4111828	
AUS	PASSCAR	TOT	IDX2015	M	1999-01	82.6577568	
AUS	PASSCAR	TOT	IDX2015	M	1999-02	98.95381465	
AUS	PASSCAR	TOT	IDX2015	M	1999-03	125.9192178	
AUS	PASSCAR	TOT	IDX2015	M	1999-04	103.5845665	
AUS	PASSCAR	TOT	IDX2015	M	1999-05	105.5508908	
AUS	PASSCAR	TOT	IDX2015	M	1999-06	129.2608056	
AUS	PASSCAR	TOT	IDX2015	M	1999-07	103.1796666	
AUS	PASSCAR	TOT	IDX2015	M	1999-08	101.2738446	
AUS	PASSCAR	TOT	IDX2015	M	1999-09	97.97181602	
AUS	PASSCAR	TOT	IDX2015	M	1999-10	98.11143668	
AUS	PASSCAR	TOT	IDX2015	M	1999-11	111.2474136	
AUS	PASSCAR	TOT	IDX2015	M	1999-12	116.4948234	
AUS	PASSCAR	TOT	IDX2015	M	2000-01	78.21781986	
AUS	PASSCAR	TOT	IDX2015	M	2000-02	100.4268126	
AUS	PASSCAR	TOT	IDX2015	M	2000-03	110.3771115	
AUS	PASSCAR	TOT	IDX2015	M	2000-04	81.65248806	
AUS	PASSCAR	TOT	IDX2015	M	2000-05	96.908372	
AUS	PASSCAR	TOT	IDX2015	M	2000-06	89.62948168	
AUS	PASSCAR	TOT	IDX2015	M	2000-07	137.7637037	
AUS	PASSCAR	TOT	IDX2015	M	2000-08	125.1699203	
AUS	PASSCAR	TOT	IDX2015	M	2000-09	105.1227207	
AUS	PASSCAR	TOT	IDX2015	M	2000-10	115.5058437	
AUS	PASSCAR	TOT	IDX2015	M	2000-11	120.0830743	
AUS	PASSCAR	TOT	IDX2015	M	2000-12	127.5457985	
AUS	PASSCAR	TOT	IDX2015	M	2001-01	84.64037015	
AUS	PASSCAR	TOT	IDX2015	M	2001-02	94.89783452	
AUS	PASSCAR	TOT	IDX2015	M	2001-03	109.3299566	
AUS	PASSCAR	TOT	IDX2015	M	2001-04	91.6702703	
AUS	PASSCAR	TOT	IDX2015	M	2001-05	102.7910557	
AUS	PASSCAR	TOT	IDX2015	M	2001-06	114.3074331	
AUS	PASSCAR	TOT	IDX2015	M	2001-07	107.5777173	
AUS	PASSCAR	TOT	IDX2015	M	2001-08	104.3920393	
AUS	PASSCAR	TOT	IDX2015	M	2001-09	93.67848077	
AUS	PASSCAR	TOT	IDX2015	M	2001-10	106.0535251	
AUS	PASSCAR	TOT	IDX2015	M	2001-11	110.5562914	
AUS	PASSCAR	TOT	IDX2015	M	2001-12	112.1456399	
AUS	PASSCAR	TOT	IDX2015	M	2002-01	92.56616953	
AUS	PASSCAR	TOT	IDX2015	M	2002-02	99.54022142	
AUS	PASSCAR	TOT	IDX2015	M	2002-03	104.3152479	
AUS	PASSCAR	TOT	IDX2015	M	2002-04	97.85546547	
AUS	PASSCAR	TOT	IDX2015	M	2002-05	108.0850057	
AUS	PASSCAR	TOT	IDX2015	M	2002-06	114.2585658	
AUS	PASSCAR	TOT	IDX2015	M	2002-07	106.8633249	
AUS	PASSCAR	TOT	IDX2015	M	2002-08	104.9993892	
